t,equity,cash
2021-07-19 23:00:00+00:00,15000.0,15000.0
2021-07-20 00:00:00+00:00,15000.0,15000.0
2021-07-20 01:00:00+00:00,15000.0,15000.0
2021-07-20 02:00:00+00:00,15000.0,15000.0
2021-07-20 03:00:00+00:00,15000.0,15000.0
2021-07-20 04:00:00+00:00,15000.0,15000.0
2021-07-20 05:00:00+00:00,15000.0,15000.0
2021-07-20 06:00:00+00:00,15000.0,15000.0
2021-07-20 07:00:00+00:00,15000.0,15000.0
2021-07-20 08:00:00+00:00,15000.0,15000.0
2021-07-20 09:00:00+00:00,15000.0,15000.0
2021-07-20 10:00:00+00:00,15000.0,15000.0
2021-07-20 11:00:00+00:00,15000.0,15000.0
2021-07-20 12:00:00+00:00,15000.0,15000.0
2021-07-20 13:00:00+00:00,15000.0,15000.0
2021-07-20 14:00:00+00:00,15000.0,15000.0
2021-07-20 15:00:00+00:00,15000.0,15000.0
2021-07-20 16:00:00+00:00,15000.0,15000.0
2021-07-20 17:00:00+00:00,15000.0,15000.0
2021-07-20 18:00:00+00:00,15000.0,15000.0
2021-07-20 19:00:00+00:00,15000.0,15000.0
2021-07-20 20:00:00+00:00,15000.0,15000.0
2021-07-20 21:00:00+00:00,15000.0,15000.0
2021-07-20 22:00:00+00:00,15000.0,15000.0
2021-07-20 23:00:00+00:00,15000.0,15000.0
2021-07-21 00:00:00+00:00,15000.0,15000.0
2021-07-21 01:00:00+00:00,15000.0,15000.0
2021-07-21 02:00:00+00:00,15000.0,15000.0
2021-07-21 03:00:00+00:00,15000.0,15000.0
2021-07-21 04:00:00+00:00,15000.0,15000.0
2021-07-21 05:00:00+00:00,15000.0,15000.0
2021-07-21 06:00:00+00:00,15000.0,15000.0
2021-07-21 07:00:00+00:00,15000.0,15000.0
2021-07-21 08:00:00+00:00,15000.0,15000.0
2021-07-21 09:00:00+00:00,15000.0,15000.0
2021-07-21 10:00:00+00:00,15000.0,15000.0
2021-07-21 11:00:00+00:00,15000.0,15000.0
2021-07-21 12:00:00+00:00,15000.0,15000.0
2021-07-21 13:00:00+00:00,15000.0,15000.0
